scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,category,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol
Clermontia caerulea,Clermontia coerulea; Clermontia konaensis; Clermontia caerulea var. degeneri; Clermontia coerulea var. degeneri; Clermontia caerulea var. brevidens; Clermontia caerulea ssp. brevidens; Clermontia coerulea ssp. brevidens; Clermontia coerulea var. brevidens; Clermontia caerulea var. flavescens; Clermontia caerulea var. parvifolia; Clermontia coerulea var. flavescens; Clermontia coerulea var. parvifolia; Clermontia clermontioides ssp. clermontioides,Kauai clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLCLC
Clermontia loyana,Clermontia rockiana; Clermontia caerulea var. greenwelliana; Clermontia coerulea var. greenwelliana; Clermontia clermontioides ssp. rockiana,Kauai clermontia,Campanulaceae,Clermontia,"Shrub, Tree",Perennial,HI(N),Dicot,,,,,,,,CLCLR
Clermontia drepanomorpha,,Kohala Mountain clermontia,Campanulaceae,Clermontia,Tree,Perennial,HI(N),Dicot,,,,,,,,CLDR2
Clermontia fauriei,Clermontia clermontioides var. epiphytica; Clermontia clermontioides var. hirsutiflora,haha'aiakamanu,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLFA
Clermontia fulva,,yellowflower clermontia,Campanulaceae,Clermontia,Shrub,Perennial,HI(N),Dicot,,,,,,,,CLFU
Clermontia grandiflora,,bog clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLGR3
Clermontia earina,Clermontia grandiflora ssp. grandiflora; Delissea filigera,bog clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLGRG
Clermontia grandiflora ssp. maxima,,bog clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLGRM2
Clermontia munroi,Clermontia forbesii; Clermontia reticulata; Clermontia wailauensis; Clermontia molokaiensis; Clermontia subpetiolata; Clermontia hirsutinervis; Clermontia grandiflora ssp. munroi,bog clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLGRM
Clermontia hawaiiensis,Clermontia kohalae var. hiloensis,'oha kepau,Campanulaceae,Clermontia,"Shrub, Tree",Perennial,HI(N),Dicot,,,,,,,,CLHA4
Clermontia kakeana,Clermontia kakeana var. orientalis,forest clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLKA
Clermontia kohalae,Clermontia convallis; Clermontia kohalae var. robusta,Waipio Valley clermontia,Campanulaceae,Clermontia,Tree,Perennial,HI(N),Dicot,,,,,,,,CLKO
Clermontia lindseyana,Clermontia lindseyana var. livida; Clermontia hawaiiensis var. grandis,hillside clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLLI3
Clermontia micrantha,,Maui clermontia,Campanulaceae,Clermontia,"Shrub, Tree",Perennial,HI(N),Dicot,,,,,,,,CLMI3
Clermontia montis-loa,,Mauna Loa clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLMO5
Clermontia multiflora,,Waihee clermontia,Campanulaceae,Clermontia,Shrub,Perennial,HI(N),Dicot,,,,,,,,CLMU2
Clermontia oblongifolia,,Oahu clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLOB2
Clermontia oblongifolia ssp. brevipes,,Oahu clermontia,Campanulaceae,Clermontia,"Shrub, Tree",Perennial,HI(N),Dicot,,,,,,,,CLOBB
Clermontia oblongifolia ssp. mauiensis,,Oahu clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLOBM
Clermontia aspera,Clermontia oblongifolia ssp. oblongifolia,Oahu clermontia,Campanulaceae,Clermontia,"Shrub, Tree",Perennial,HI(N),Dicot,,,,,,,,CLOBO
Clermontia pallida,Clermontia pallida var. ramosissima,Wailai Pali clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLPA6
Clermontia paradisia,Clermontia parviflora; Clermontia parviflora var. umbraticola,smallflower clermontia,Campanulaceae,Clermontia,"Shrub, Tree",Perennial,HI(N),Dicot,,,,,,,,CLPA8
Clermontia peleana,,pele clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLPE2
Clermontia peleana ssp. peleana,,pele clermontia,Campanulaceae,Clermontia,"Shrub, Tree",Perennial,HI(N),Dicot,,,,,,,,CLPEP4
Clermontia singuliflora,Clermontia peleana ssp. singuliflora; Clermontia clermontioides var. barbata,green-flower clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLPES2
Clermontia persicifolia,,Waioiani clermontia,Campanulaceae,Clermontia,"Shrub, Tree",Perennial,HI(N),Dicot,,,,,,,,CLPE3
Clermontia pyrularia,,Hamakua clermontia,Campanulaceae,Clermontia,Tree,Perennial,HI(N),Dicot,,,,,,,,CLPY2
Clermontia samuelii,,Hana clermontia,Campanulaceae,Clermontia,Shrub,Perennial,HI(N),Dicot,,,,,,,,CLSA5
Clermontia hanaensis,Clermontia samuelii ssp. hanaensis,Hana clermontia,Campanulaceae,Clermontia,Shrub,Perennial,HI(N),Dicot,,,,,,,,CLSAH2
Clermontia rosacea,Clermontia samuelii ssp. samuelii,Hana clermontia,Campanulaceae,Clermontia,Shrub,Perennial,HI(N),Dicot,,,,,,,,CLSAS
Clermontia tuberculata,Clermontia tuberculata var. subtuberculata,Haleakala clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLTU2
Clermontia waimeae,Clermontia waimeae var. obovata; Clermontia parviflora var. calycina; Clermontia waimeae var. longisepala,swampforest clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLWA2
Clerodendrum ×speciosum,,glorybower,Verbenaceae,Clerodendrum,"Shrub, Vine",Perennial,L48(I)PR(I),Dicot,,,,,,,,CLSP13
Clerodendrum aculeatum,Volkameria aculeata,haggarbush,Verbenaceae,Clerodendrum,"Tree, Shrub, Vine",Perennial,PR(N)VI(N),Dicot,,,,,,,,CLAC2
Clerodendrum bungei,Clerodendrum foetidum,rose glorybower,Verbenaceae,Clerodendrum,"Tree, Shrub",Perennial,L48(I)PR(I),Dicot,,,,,,,,CLBU
Clerodendrum chinense,Clerodendrum fragrans; Clerodendrum philippinum; Clerodendrum fragrans var. multiplex,stickbush,Verbenaceae,Clerodendrum,"Tree, Subshrub, Shrub",Perennial,L48(I)HI(I)PR(I)VI(I),Dicot,,,,,,,,CLCH4
Clerodendrum glabrum,,Natal glorybower,Verbenaceae,Clerodendrum,"Tree, Shrub",Perennial,L48(I)HI(I),Dicot,,,,,,,,CLGL2
Clerodendrum indicum,Siphonanthus indicus,turk's turbin,Verbenaceae,Clerodendrum,"Subshrub, Shrub, Tree",Perennial,L48(I)HI(I)VI(I),Dicot,,,,,,,,CLIN
Clerodendrum inerme,Volkameria inermis,embrert,Verbenaceae,Clerodendrum,Shrub,Perennial,L48(N)HI(I)VI(I),Dicot,,,,,,,,CLIN2
Clerodendrum inerme var. oceanicum,,,Verbenaceae,Clerodendrum,"Tree, Vine, Shrub",Perennial,L48(N),,,,,,,,,CLINO2
Clerodendrum japonicum,Clerodendrum squamatum; Clerodendrum japonicum var. pleniflorum,Japanese glorybower,Verbenaceae,Clerodendrum,Shrub,Perennial,L48(I)HI(I),Dicot,,,,,,,,CLJA3
Clerodendrum kaempferi,,Kaempfer's glorybower,Verbenaceae,Clerodendrum,"Shrub, Tree",Perennial,L48(I),Dicot,,,,,,,,CLKA2
Clerodendrum lindleyi,,Lindley's clerodendrum,Verbenaceae,Clerodendrum,Shrub,Perennial,L48(I),Dicot,,,,,,,,CLLI6
Clerodendrum lindleyi var. paniculatum,,Lindley's clerodendrum,Verbenaceae,Clerodendrum,Shrub,Perennial,L48(I),Dicot,,,,,,,,CLLIP
Clerodendrum macrostegium,,velvetleaf glorybower,Verbenaceae,Clerodendrum,"Shrub, Tree",Perennial,HI(I),Dicot,,,,,,,,CLMA24
Clerodendrum paniculatum,,pagoda-flower,Verbenaceae,Clerodendrum,Shrub,Perennial,L48(I),,,,,,,,,CLPA20
Clerodendrum quadriloculare,,,Verbenaceae,Clerodendrum,Shrub,Perennial,L48(I),Dicot,,,,,,,,CLQU2
Clerodendrum speciosissimum,,Javanese glorybower,Verbenaceae,Clerodendrum,"Tree, Shrub",Perennial,L48(I)PR(I)VI(I),Dicot,,,,,,,,CLSP7
Clerodendrum thomsoniae,Clerodendrum thompsoniae,bagflower,Verbenaceae,Clerodendrum,"Vine, Shrub",Perennial,PR(I),Dicot,,,,,,,,"CLTH,CLTH5"
Clerodendrum trichotomum,,harlequin glorybower,Verbenaceae,Clerodendrum,Tree,Perennial,L48(I),Dicot,,,,,,,,CLTR
Clerodendrum trichotomum var. ferrugineum,,ferruginous clerodendrum,Verbenaceae,Clerodendrum,Tree,Perennial,L48(I),Dicot,,,,,,,,CLTRF
Clerodendrum umbellatum,,umbel clerodendrum,Verbenaceae,Clerodendrum,Shrub,Perennial,L48(I),Dicot,,,,,,,,CLUM5
Clerodendrum wallichii,,Wallich's glorybower,Verbenaceae,Clerodendrum,Shrub,Perennial,PR(I),Dicot,,,,,,,,CLWA3
Clethra acuminata,,mountain sweetpepperbush,Clethraceae,Clethra,"Shrub, Tree",Perennial,L48(N),Dicot,,,,,,,,CLAC3
Clethra alnifolia,Clethra tomentosa; Clethra alnifolia var. tomentosa,coastal sweetpepperbush,Clethraceae,Clethra,Shrub,Perennial,L48(N)CAN(N),Dicot,16,No,White,Summer,Low,Intermediate,Moderate,CLAL3
Cleyera albopunctata,Eroteum albopunctatum; Ternstroemia albopunctata,teta prieta,Theaceae,Cleyera,Tree,Perennial,PR(N),Dicot,,,,,,,,CLAL4
Cleyera japonica,,sakaki,Theaceae,Cleyera,Shrub,Perennial,L48(I),Dicot,,,,,,,,CLJA6
Clibadium erosum,,jackass breadnut,Asteraceae,Clibadium,"Tree, Shrub",Perennial,PR(N)VI(N),Dicot,,,,,,,,CLER
Clidemia angustilamia,Clidemia angustilamina; Heterotrichum angustifolium,narrowleaf terciopelo,Melastomataceae,Clidemia,"Shrub, Tree",Perennial,PR(N),Dicot,,,,,,,,CLAN8
Clidemia cymosa,Heterotrichum cymosum,camasey terciopelo,Melastomataceae,Clidemia,"Shrub, Tree",Perennial,PR(N),Dicot,,,,,,,,CLCY5
Clidemia hirta,,soapbush,Melastomataceae,Clidemia,Shrub,Perennial,L48(N)HI(I)PR(N)VI(N),Dicot,,,,,,,,CLHI3
Clidemia hirta var. hirta,Melastoma hirtum,soapbush,Melastomataceae,Clidemia,Shrub,Perennial,L48(N),Dicot,,,,,,,,CLHIH2
