,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornamental Winners,Agricultural Winners,Nitrogen-fixer?,family,Generic Epithet,Specific Hybrid Symbol,Specific Epithet,Section,Botanic,Infraspecific rank,Infraspecific Epithet,Cultivar Epithet,comm_ful,Conservation Status,Native range,"Habit (tree, shrub, vine)",# stems,Growth rate,Lifespan,Max Height (ft),Max Spread (ft),Leaf persistence,HABITAT,Wetland indicator,Light exposure,Soil preferences,Propagation,Root type/depth,Container Type,Transplant Time,Time to prune,Insect Pests,Disease,pH min,pH max,USDA Hardiness Zone,Salt Tolerance,Drought tolerance,Heat tolerance,"Flood Tolerance intolerant, tolerant, medium (10-30% season)",Leaf color,Fall color,flower color,Bloom time,Fruit color,Bark features,Thorns?,Fruit type,CTLA Species rating,Edible?,Wildlife value,"wildlife habitat uses            DB = high value deer browse
WB = wildlife browse
WM = wildlife mast (fruit, nut, seed)
WC = wildlife cover
",wildlife specific uses,Uses,Umass treecount
,,,,,,,,Prunus virginiana,,,,,,,T,,R,S,25,,,,FACU,sun,,,,,,,,,5.2-8.4,,2b,N,M,,I,,,,mSp,,,,,,,,,,"low hedge tol., mod. Veget. spread rate (maybe invasive), edible fruit, toxic to livestock, seed cold strat. Req.",
,,,Pinaceae,abies,,balsamea,,abies balsamea,,,,"fir, balsam",Least concern,,tree,,S,,75,25,evergreen,,FAC,sun,,,,,,,,,5,6,3,,L,,,,,,mSu,,,,,65,,MOD,"WB,WC,WM","Seeds eaten by chickadee, crossbill, finches, red squirrel, Bark eatern by porcupine, Browsed by moose and hare in winter, Good nesting/winter cover","low hedge tolerance, Xmas trees",13
,,,,,,,,Picea pungens,,,,,,,T,,S,L,75,30,,,FACU,sun/partial,,,,,,,,,5.5-7.8,,3a,M,M,,,,,,lSp,,,,,,,,,,"low hedge, christmas tree, requires little shaping",
,,,,,,,,ilex verticillata,,,,,,,S,,M,L,20,13,,,FACW+,sun/partial,,,,,,,,,4.5-7.5,,3,N,L,,,,,,lSp,,,,,,,,,,"low spreading hazard,dried arrangements, likes acid soil, plant at least 10 plants to ensure pollination, plant male & female plants within 40 ft of each other, 5 yr - 6' x 6'",
,,,,,,,,Populus deltoides,,,,,,,T,,R,M,130,32,,,FAC,sun,,,,,,,,,4.5-6.5,,4a,L,L,,T,,,,Sp,,,,,,,,,,"male, non-hybrid adapted clones used in multi-row windbrks and open mine spoils, nuisance around bldgs.",
,,,Ulmaceae,ulmus,,americana,,ulmus americana,,,,"elm, american",Least concern,,T,,R,L,120,120,,,FACW-,sun/partial,,,,,,,,,6.0-8.0,,3,M,M,,M,,,,eSp,,,,,70,,LOW,"WB,WM",,"Mature specimens are rare due to dutch elm disease, may be able to reproduce at 15 years before being killed.",26
,,,,,,,,Viburnum trilobum,,,,,,,S,,S,L,12,10,,,FACW,sun,,,,,,,,,4.5-6.9,,2,N,M,,T,,,,mSp,,,,,,,,,,"medium tall hedge or border for screening or windbreak, edible fruit, tolerates wet soil **Difficult to find true native variety - mostly finding european(Intervale)",
,,,,,,,,Viburnum lantanoides,,,,,,,S,,S,L,10,,,,FAC,shade,,,,,,,,,4.9-7.0,,3a,N,M,,,,,,lSp,,,,,,,,,,Moist woodland and cool ravines (northern hardwoods). Normally occurs as a shrub layer under taller vegetation.,
,,,,,,,,Ulmus rubra,,,,,,,T,,R,M,85,,,,FAC,shade,,,,,,,,,5.5-7.0,,2b,N,M,,T,,,,lW,,,,,,,,,,More of an upland rich woods or talus site than American elm,
,,,,,,,,Fraxinus nigra,,,,,,,T,,M,L,65,50,,,FACW,sun/partial,,,,,,,,,4.2-6.0,,2,N,L,,T,,,,lSp,,,,,,,,,,"native-american baskets, very wet sites",
,,,,,,,,Platanus occidentalis,,,,,,,T,,R,L,100,,,,FACW-,sun/partial,,,,,,,,,4.9-6.5,,3b,N,L,,T,,,,Sp,,,,,,,,,,"naturally occurring on streambanks and riparian zones, aka BUTTONWOOD",
,,,,,,,,Nyssa sylvatica,,,,,,,T,,M,M,80,45,,,FAC,shade,,,,,,,,,4.5-6.0,,5a,L,L,,M,,,,lSp,,,,,,,,,,"needs acid soil, tol. flood 50 days +, seed cold strat. Req., slow recovery from transpl., use small caliper B&B only.",
,,,,,,,,Comptonia peregrina,,,,,,,S,,M,M,3,2,,,None,sun,,,,,,,,,4.0-7.0,,3,N,H,,,,,,Sp,,,,,,,,,,"nitrogen-fixing, good on steep sandy banks, coastal sites, or in open, sterile, sandy soils of woodland, clearings, pastures",
,,,,,,,,Populus balsamifera,,,,,,,T,,R,M,80,,,,FACW,sun,,,,,,,,,4.5-7.0,,2b,N,L,,,,,,lSp,,,,,,,,,,"Northernmost American hardwood, AKA ""balm-of-gilead"" from native salve or ointment made by heating the winter buds in oil, used to relieve congestion",
,,,,,,,,Quercus macrocarpa,,,,,,,T,,S,L,100,80,,,FAC-,sun/partial,,,,,,,,,4.5-7.5,,3a,N,H,,M,,,,mSp,,,,,,,,,,"open mine reclamation, either way transplant small caliper trees, seed cold strat. Req.; has the largest acorns of all native oaks and is very drought resistant",
,,,,,,,,Juglans nigra,,,,,,,T,,R,L,90,48,,,FACU,sun,,,,,,,,,5.5-8.0,,4a,N,L,,M,,,,lSp,,,,,,,,,,"ornamental, high fertility requirement, use local plant sources; The best known use of black walnut is for its lumber and veneer.",
,,,,,,,,Quercus alba,,,,,,,T,,S,L,100,39,,,FACU-,sun/partial,,,,,,,,,4.5-6.8,,2b,H,M,,I,,,,mSp,,,,,,,,,,"ornamental, sens. fire, coal smoke, root disturb., intol. flood, satur. soil, diff. transpl. because of taproot & grows slowly. Most important lumber tree of the white oak group",
,,,,,,,,Salix discolor,,,,,,,S,,R,L,40,,,,FACW,partial/shade,,,,,,,,,4.0-7.0,,3b,N,L,,,,,,lW,,,,,,,,,,"Other native shrub willows - S.eriocophala, S.lucida, and S.sericea",
,,,,,,,,Rhus aromatica,,,,,,,S,,R,L,15,,,,None,sun,,,,,,,,,5.0-8.0,,,N,H,,,,,,e-mSp,,,,,,,,,,"pioneer species, ornamentals",
,,,,,,,,Rhus glabra,,,,,,,S,,M,S,15,12,D,,None,sun,,,,,,,,,5.3-7.5,,3b,N,M,,,,,,mSp,,,,,,,MOD,"WB,WM","Generally considered emergency winter food - Fruit eaten by grouse, turkey, bluebird, cardinal, mimics, crow, robin, hermit thrush, Poor nesting, Browsed by deer","pioneer species, ornamentals, lateral root system is extensive, upto 3 or more feet per year",
,,,,,,,,Acer pensylvanicum,,,,,,,T,,S,S,49,,D,,FACU,shade,,,,,,,,,4.4-6.5,,4,N,L,,,,,,lSp,,,,,,,MOD,,,Probably the most important use of striped maple is for wildlife food (browse),
,,,,,,,,Quercus bicolor,,,,,,,T,,S,L,100,60,,,FACW+,sun/partial,,,,,,,,,4.3-6.5,,4a,N,L,,M,,,,eSp,,,,,,,,,,"rapid growing and long lived, reaching 300 to 350 years. Many kinds of wildlife eat the acorns, particularly ducks",
,,,,,,,,Tilia americana,,,,,,,T,,M,M,130,32,,,FACU,partial/shade,,,,,,,,,4.5-7.5,,2b,N,M,,I,,,,lSp-eSu,,,,,,,,,,relatively soft wood that works exceptionally well and is valued for hand carving,
,,,,,,,,Quercus prinus,,,,,,,T,,S,L,80,,,,None,sun/partial,,,,,,,,,4.5-7.0,,5a,N,M,,,,,,mSp,,,,,,,,,,Rich Woods Lake Champlain Region and Lower Connecticut Valley,
,,,,,,,,Viburnum nudum L. var. cassinoides,,,,,,,S,,S,L,15,,,,FACW,partial/shade,,,,,,,,,4.9-7.0,,3b,N,M,,,,,,eSu,,,,,,,,,,seed cold strat. Req. Aka Wild Raisin or Possumhaw,
,,,,,,,,Cornus alternifolia,,,,,,,S,,M,M,25,,,,None,partial/shade,,,,,,,,,5.8-7.5,,2,N,L,,,,,,mSp,,,,,,,,,,"seed cold strat. Req., aka Pagoda Dogwood. Susceptible to Dogwood Anthracnose. Plant scattered as only small component (<10%) of planting.",
,,,,,,,,Corylus americana,,,,,,,S,,M,S,10,10,,,FACU-,sun/partial,,,,,,,,,5.0-7.0,,3,M,L,,I,,,,Sp,,,,,,,,,,"seed cold strat. Req., edible nut; VT Rare, do not plant without NNHP. Alternative is Beaked Hazelnut.",
,,,,,,,,Vaccinium angustifolium,,,,,,,S,,M,M,2,2,,,FACU-,sun,,,,,,,,,4.7-7.5,,3b,N,H,,,,,,eSu,,,,,,,,,,"seed cold strat. Req., sensitive to compaction",
,,,,,,,,Picea glauca,,,,,,,T,,S,S,100,20,,,FACU,shade,,,,,,,,,4.0-8.2,,2b,N,H,,,,,,lSp,,,,,,,,,,"seed cold stratification required, *seedlings sensitive to frost heaving",
,,,,,,,,Pinus strobus,,,,,,,T,,1st S/R,L,150,40,,,FACU,sun/partial,,,,,,,,,4.0-6.5,,3b,N,N,,I,,,,lSp,,,,,,,,,,"seedlings tolerate shade, saplings do not tolerate shade, sensitive to compaction, seed cold strat. Req.",
,,,,,,,,Populus tremuloides,,,,,,,T,,R,S,65,20,,,FACU,sun,,,,,,,,,6.0-9.0,,3a,H,L,,,,,,mSp,,,,,,,,,,"Short lived but grow rapidly, especially the first 30 years.Easily reproduced from seed or sucker shoots, quickly reforests disturbed site builds soil",
,,,,,,,,Populus grandidentata,,,,,,,T,,R,S,65,32,,,FACU-,sun,,,,,,,,,4.8-7.2,,2b,H,L,,,,,,mSp,,,,,,,,,,"Short lived but grow rapidly, especially the first 30 years.Easily reproduced from seed or sucker shoots, quickly reforests disturbed site, builds soil",
,,,,,,,,Cornus sericea,,,,,,,S,,R,L,6,9,,,FACW+,partial,,,,,,,,,4.8-7.5,,3,N,L,,T,,,,Su,,,,,,,,,,"streambank protection, fish & wildlife improvement, slope stabil., borders, ornamental, transpl. early spring only",
