,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornamental Winners,Agricultural Winners,Nitrogen-fixer?,family,Generic Epithet,Specific Hybrid Symbol,Specific Epithet,Section,Botanic,Infraspecific rank,Infraspecific Epithet,Cultivar Epithet,comm_ful,Conservation Status,Native range,"Habit (tree, shrub, vine)",# stems,Growth rate,Lifespan,Max Height (ft),Max Spread (ft),Leaf persistence,HABITAT,Wetland indicator,Light exposure,Soil preferences,Propagation,Root type/depth,Container Type,Transplant Time,Time to prune,Insect Pests,Disease,pH min,pH max,USDA Hardiness Zone,Salt Tolerance,Drought tolerance,Heat tolerance,"Flood Tolerance intolerant, tolerant, medium (10-30% season)",Leaf color,Fall color,flower color,Bloom time,Fruit color,Bark features,Thorns?,Fruit type,CTLA Species rating,Edible?,Wildlife value,"wildlife habitat uses            DB = high value deer browse
WB = wildlife browse
WM = wildlife mast (fruit, nut, seed)
WC = wildlife cover
",wildlife specific uses,Uses,Umass treecount
,,,,,,,,Gaylussacia spp. – Huckleberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attractive to birds,,
*,,,,gingko,,biloba,,gingko biloba,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ginkgo biloba,,,,,,,,,,,,,,,,,,,,,fall,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ginkgo biloba,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ginkgo biloba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gymnocladus dioicus,,,,,,,,,,,,,,,,,,,,,fall,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Halesia,,tetraptera,,Halesia  tetraptera,,,,,,,,,,,,,,"lowlands, stream banks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Halesia tetraptera,,,,,,,,,,,,,,"lowlands, stream banks",,,,,,solid,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Halesia tetraptera,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Halesia tetraptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Halesia tetraptera - Carolina silverbell,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Halesia tetraptera - Carolina silverbell,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Halesia tetraptera - Carolina silverbells,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hamamelis,,mollis,,Hamamelis  mollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,hamamelis,x,intermedia,,hamamelis intermedia,,,arnoldpromise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,hamamelis,x,intermedia,,hamamelis intermedia,,,jelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hamamelis,x,intermedia,,Hamamelis intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis japonica,,,,,,,,,,,,,,,,sun,,,,airpot,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis mollis,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,hamamelis,,vernalis,,hamamelis vernalis,,,ozark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis vernalis - Vernal witch hazel,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis virginiana - Common witch hazel,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis virginiana - Common witch hazel,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis virginiana -Common witch hazel,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis virginiana L.,,,,,,,,,,,,,,,"FAC (Great Plains), FACU (Eastern Mountains and Piedmont), FACU (Midwest), FACU (Northcentral & Northeast), FACU (Western Mountains, Valleys, and Coast), FACU (Arid West), FACU (Atlantic and Gulf Coastal Plain)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis x intermedia,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Helianthus giganteus L.,,,,,,,,,,,,,,,"FAC (Great Plains), FACW (Atlantic and Gulf Coastal Plain), FACW (Eastern Mountains and Piedmont), FACW (Midwest), FACW (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,,,,Hemiptelea,,,,Hemiptelea daviana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,,,,hovenia,,dulcis,,hovenia dulcis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,humulus,,lupulus,,humulus lupulus,,,aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,hydrangea,,anomala,,hydrangea anomala,,,petiolaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea arborescens - Smooth hydrangea,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea arborescens L.,,,,,,,,,,,,,,,"UPL (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont), FACU (Great Plains), FACU (Midwest), FACU (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea paniculata Siebold,,,,,,,,,,,,,,,"FAC (Atlantic and Gulf Coastal Plain), FAC (Eastern Mountains and Piedmont), FAC (Midwest), FAC (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea quercifolia - Oakleaf hydrangea,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea quercifolia - Oakleaf hydrangea,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea quercifolia - Oakleaf hydrangea,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hypericum,,prolificum,,Hypericum  prolificum,,,,,,,,,,,,,,upland prairies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hypericum beanii,,,,,,,,,,,,,,,,sun,,,,solid,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hypericum drummondii (Grev. & Hook.) Torr. & A. Gray,,,,,,,,,,,,,,,"UPL (Eastern Mountains and Piedmont), FACU (Great Plains), FACU (Midwest), FACU (Northcentral & Northeast), FACU (Atlantic and Gulf Coastal Plain)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hypericum prolificum,,,,,,,,,,,,,,upland prairies,,,,,,air,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hypericum prolificum - Shrubby St. Johnswort,,,,,,,,,,,,,,droughty soil,,sun,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,
,,,,,,,,Hypericum prolificum - Shrubby St. Johnswort,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hypericum prolificum L.,,,,,,,,,,,,,,,"FAC (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont), FACU (Great Plains), FACU (Midwest), FACU (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex colchica,,,,,,,,,,,,,,,,sun,,,,solid/airpot,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex glabra - Inkberry,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex glabra - Inkberry,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex glabra - Inkberry,,common in wetlands,,,,,,,,,,,,common in wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex glabra - Inkberry,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex glabra - Inkberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attractive to birds,,
,,,,,,,,Ilex laevigata (Pursh) A. Gray,,,,,,,,,,,,,,,"FACW (Atlantic and Gulf Coastal Plain), OBL (Eastern Mountains and Piedmont), OBL (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ilex,x,meserveae,,ilex meserveae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex montana Torr. & A. Gray ex A. Gray,,,,,,,,,,,,,,,"FAC (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont), FACU (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex opaca - American holly,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex opaca - American holly,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex opaca - American holly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attractive to birds,,
,,,,,,,,Ilex verticillata,,,,,,,,,,,,,,,,sun/part shade,,,,solid/airpot,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex verticillata - Winterberry,,common in wetlands,,,,,,,,,,,,common in wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex verticillata – Winterberry,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex verticillata (L.) A. Gray,,,,,,,,,,,,,,,"FACW (Northcentral & Northeast), FACW (Atlantic and Gulf Coastal Plain), FACW (Eastern Mountains and Piedmont), FACW (Midwest)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Itea,,virginica,,Itea  virginica,,,,,,,,,,,,,,wet areas and upland sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Itea virginica,,,,,,,,,,,,,,wet areas and upland sites,,,,,,solid,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Itea virginica - Sweetspire,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Itea virginica - Virginia sweetspire,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,juglans,,ailantifolia,,juglans ailantifolia,var.,cordiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juglans cinerea L.,,,,,,,,,,,,,,,"FACU (Western Mountains, Valleys, and Coast), FACU (Arid West), FACU (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont), FACU (Midwest), FACU (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juglans microcarpa,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juglans microcarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juglans nigra L.,,,,,,,,,,,,,,,"UPL (Western Mountains, Valleys, and Coast), UPL (Arid West), UPL (Atlantic and Gulf Coastal Plain), FACU (Northcentral & Northeast), FACU (Eastern Mountains and Piedmont), FACU (Great Plains), FACU (Midwest)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus communis - Pasture juniper,,,,,,,,,,,,,,droughty soil,,sun,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus communis - Pasture juniper,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus horizontalis - Creeping juniper,,,,,,,,,,,,,,droughty soil,,sun,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus horizontalis - Creeping juniper,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus virginiana - Eastern red cedar,,,,,,,,,,,,,,droughty soil,,sun,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus virginiana - Eastern red cedar,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus virginiana - Eastern red cedar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attractive to birds,,
,,,,,,,,Kalmia angustifolia - Sheep Laurel,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Kalmia angustifolia - Sheep laurel,,common in wetlands,,,,,,,,,,,,common in wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Kalmia angustifolia - Sheep laurel,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Kalmia latifolia - Mt. Laurel,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Kalmia latifolia - Mt. laurel,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Kalmia latifolia - Mt. laurel,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Kalmia latifolia L.,,,,,,,,,,,,,,,"FACU (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont), FACU (Midwest), FACU (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kolkwitzia,,amabilis,,Kolkwitzia  amabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Kolkwitzia amabilis,,,,,,,,,,,,,,,,,,,,mix,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,laburnum,x,watereri,,laburnum watereri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,lagerstroemia,,indica,,lagerstroemia indica,,,redrock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Larix laricina,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Larix laricina (Du Roi) K. Koch,,,,,,,,,,,,,,,"FACW (Eastern Mountains and Piedmont), FACW (Great Plains), FACW (Midwest), FACW (Northcentral & Northeast), FACW (Alaska)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Larix occidentalis,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leucothoe axillaris - Coast leucothoe,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leucothoe fontanesiana - Drooping leucothoe,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leucothoe fontanesiana (Steud.) Sleumer,,,,,,,,,,,,,,,"FACW (Atlantic and Gulf Coastal Plain), FACW (Eastern Mountains and Piedmont), FACW (Midwest), FACW (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Liatris spicata (L.) Willd.,,,,,,,,,,,,,,,"FAC (Atlantic and Gulf Coastal Plain), FAC (Eastern Mountains and Piedmont), FAC (Midwest), FAC (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ligustrum vulgare L.,,,,,,,,,,,,,,,"UPL (Arid West), UPL (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont), FACU (Great Plains), FACU (Midwest), FACU (Northcentral & Northeast), FACU (Western Mountains, Valleys, and Coast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lindera benzoin - Spicebush,,common in wetlands,,,,,,,,,,,,common in wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lindera benzoin - Spicebush,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Liquidambar styraciflua,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Liquidambar styraciflua - Sweet gum,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Liquidambar styraciflua - Sweetgum,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Liquidambar styraciflua L.,,,,,,,,,,,,,,,"FAC (Arid West), FAC (Atlantic and Gulf Coastal Plain), FAC (Eastern Mountains and Piedmont), FAC (Great Plains), FAC (Northcentral & Northeast), FAC (Western Mountains, Valleys, and Coast), FACW (Midwest)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Liriodendron tulipifera - Tulip tree,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Liriodendron tulipifera - Tuliptree/tulip poplar,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Liriodendron tulipifera L.,,,,,,,,,,,,,,,"FACU (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont), FACU (Great Plains), FACU (Midwest), FACU (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,lonicera,,,,lonicera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,lonicera,,caerulea,,lonicera caerulea,var.,kamtschatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lonicera canadensis W. Bartram ex Marshall,,,,,,,,,,,,,,,"FACU (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont), FACU (Great Plains), FACU (Midwest), FACU (Northcentral & Northeast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,magnolia,x,liliiflora,,magnolia  liliiflora,,,jane,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia acuminata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia acuminata - Cucumber magnolia,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia acuminata - Cucumber magnolia,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia acuminata (L.) L.,,,,,,,,,,,,,,,"FACU (Northcentral & Northeast), FACU (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont), FACU (Great Plains), FACU (Midwest)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia biondii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,magnolia,x,brooklynensis,,magnolia brooklynensis,,,yellowbird,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia denudata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,magnolia,,liliiflora,,magnolia liliiflora,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,
,,,,magnolia,x,loebneri,,magnolia loebneri,,,merrill,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,
,,,,magnolia,x,loebneri,,magnolia loebneri,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia macrophylla,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia officinalis,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,magnolia,x,soulangeana,,magnolia soulangeana,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia tripetala,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia tripetala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia tripetala (L.) L.,,,,,,,,,,,,,,,"FAC (Great Plains), FACU (Midwest), FACU (Northcentral & Northeast), FACU (Atlantic and Gulf Coastal Plain), FACU (Eastern Mountains and Piedmont)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia virginiana - Sweetbay magnolia,,,,,,,,,,,,,,well-drained soil,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia virginiana - Sweetbay magnolia,,,,,,,,,,,,,,,,shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia virginiana - Sweetbay magnolia,,common in moist soils,,,,,,,,,,,,common in moist soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia virginiana L.,,,,,,,,,,,,,,,"FACW (Northcentral & Northeast), FACW (Atlantic and Gulf Coastal Plain), FACW (Eastern Mountains and Piedmont), OBL (Great Plains)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia x soulangeana 'Candolleana',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia x soulangeana 'Candolleana',,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,malus,,,,malus,,,adams,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,,,malus,,,dolgo,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,,,malus,,,vaneseltine,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,,,malus,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,,,,,Malus 'Blanche Ames',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus 'Donald Wyman',,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus 'E. H. Wilson',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus 'Prince Georges',,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus angustifolia,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus angustifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus baccata 'Jackii',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus coronaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,malus,,halliana,,malus halliana,,,parkmanii,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,,,,,Malus hupehensis,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,malus,,hybr.,,malus hybr.,,,simcoe,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,ioensis,,malus ioensis,,,bechtel,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,,,,,Malus ioensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,malus,x,moerlandsii,,malus moerlandsii,,,profusion,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,sieboldii,,malus sieboldii,var.,zumi,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,sp.,,malus sp.,,,bobwhite,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,sp.,,malus sp.,,,donaldwyman,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,sp.,,malus sp.,,,dorothea,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,sp.,,malus sp.,,,flame,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,sp.,,malus sp.,,,galliabeauty,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,sp.,,malus sp.,,,hopa,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,sp.,,malus sp.,,,jaydarling,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,malus,,sp.,,malus sp.,,,lemoinei,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
