scientific_name,common_name,family,growth_habit,native_status,flower_color,bloom_period,notes,habitat_value,associated_wildlife,water_needs,soil_type,plant_communities,catalog_source
Sambucus nigra ssp. cerulea,Blue Elderberry,Adoxaceae,Tree (evergreen),SF Native,White,Spring;Summer,"Plant on the east side. Off-white flowers in spring, blue fruits in early summer. Attracts quail, thrashers, grosbeaks, woodpeckers, orioles, house finshes, and orange-crowned warblers.",Cover;Fruit;Pollinator;Nesting,Bees;Birds;Butterflies;Hummingbirds;Insects,Low,Clay;Loam;Sand,Coastal scrub;Riparian;Wetland,"SF Plant Finder (DataSF, CC)"
Sambucus racemosa,Red Elderberry,Adoxaceae,Shrub (deciduous),SF Native,White,Summer,Plant on the west side.,Fruit;Pollinator;Cover,Bees;Birds;Hummingbirds;Insects,Low,Loam;Clay,Coastal scrub;Riparian;Woodland,"SF Plant Finder (DataSF, CC)"
Santolina chamaecyparissus,Lavender Cotton,Asteraceae,Shrub (evergreen),Exotic,Yellow,Spring;Summer,,,,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Santolina rosmarinifolia,Green Santolina,Asteraceae,Shrub (evergreen),Exotic,Yellow,Spring,,,,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Santolina spp.,Santolina,Asteraceae,Shrub (evergreen),Exotic,Yellow,Summer,,,,Low,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Sarcococca hookeriana humilis,Sweet Sarcococca,Buxaceae,Shrub (evergreen),Exotic,White,Spring,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Senecio spp.,Blue Chalk Stalks,Asteraceae,Shrub (evergreen),Exotic,,,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Sequoia sempervirens,Redwood,Cupressaceae,Tree (evergreen),CA Native,Yellow,Summer;Fall,,Nesting,Birds;Butterflies,Moderate,Clay;Loam,Woodland,"SF Plant Finder (DataSF, CC)"
Solanum jasminoides,Potato Vine,Solanaceae,Vine,Exotic,White,Summer;Fall,,Cover;Nesting,,None,Sand;Loam;Clay,,"SF Plant Finder (DataSF, CC)"
Symphoricarpos albus,Common Snowberry,Caprifoliaceae,Shrub (deciduous),SF Native,Pink,Summer,"Attracts quail, pheasant, and grouse.",Cover;Fruit,Birds;Hummingbirds;Insects,Low,Clay;Loam;Sand;Rock,Woodland;Coastal scrub,"SF Plant Finder (DataSF, CC)"
Symphoricarpos mollis,Trailing Snowberry,Caprifoliaceae,Shrub (deciduous),SF Native,Pink,Spring;Summer,,Cover;Fruit;Pollinator;Nesting,Bees;Birds;Butterflies,Low,Clay;Loam;Sand,Woodland;Coastal scrub,"SF Plant Finder (DataSF, CC)"
Tecomaria capensis,Cape Honeysuckle,Bignoniaceae,Vine,Exotic,Orange;Red,Spring;Fall;Winter,,Pollinator;Cover;Nesting,Hummingbirds;butterflies,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Teucrium fruticans,Bush Germander,Lamiaceae,Shrub (evergreen),Exotic,Indigo,Summer;Fall,,Pollinator,Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Trichostema lanatum,Woolly Blue Curls,Lamiaceae,Shrub (evergreen),CA Native,Indigo,Spring;Summer,,Pollinator,Birds;Bees,None,Sand;Loam,Chaparral,"SF Plant Finder (DataSF, CC)"
Tristaniopsis laurina,Water Gum,Myrtaceae,Tree (evergreen),Exotic,Yellow,Spring,Pollinators.,,,None,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Ulmus parvifolia 'Drake',Chinese Elm,Ulmaceae,Tree (deciduous),Exotic,,,"Fast grower, requires extensive pruning and maintenance.",,"Butterflies, Birds",Low,,,"SF Plant Finder (DataSF, CC)"
Umbellularia californica,California bay laurel,Lauraceae,Tree (evergreen),SF Native,Yellow,Spring,Attracts small mammals,Fruit;Cover,Birds,None,Clay;Loam,Chaparral;Woodland,"SF Plant Finder (DataSF, CC)"
Vaccinium ovatum,Huckleberry,Ericaceae,Shrub (evergreen),SF Native,White,Spring;Winter,,Fruit;Pollinator;Nesting,Bees;Birds;Butterflies,Low,Clay,Woodland;Coastal scrub,"SF Plant Finder (DataSF, CC)"
Vitex agnus-castus,Chaste Tree,Verbenaceae,Shrub (evergreen),Exotic,Purple,Spring;Summer,,Pollinator;Cover;Nesting,Birds,Low,,,"SF Plant Finder (DataSF, CC)"
Vitis californica,California Wild Grape,Vitaceae,Vine,CA Native,Red,Spring,Plant east of Twin Peaks – needs warmth. Attracts Cedar Waxwing and Western Fence Lizard.,Cover;Fruit,Bees;Birds;Butterflies;Insects,Low,Clay;Loam;Sand;Rock,Riparian;Woodland,"SF Plant Finder (DataSF, CC)"
Westringia fruticosa,Coast Rosemary,Lamiaceae,Shrub (evergreen),Exotic,White,Spring;Summer;Fall;Winter,,Cover;Nesting,,Low,,,"SF Plant Finder (DataSF, CC)"
Whipplea modesta,Western modesty,Hydrangeaceae,Vine,CA Native,White,Spring,,Pollinator,,Low,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Yucca spp.,Bright Star Yucca,Agavaceae,Shrub (evergreen),CA Native,Yellow;White,,,,,None,,,"SF Plant Finder (DataSF, CC)"
