scientific_name,family,genus,growth_habit,conservation_status,catalog_source
Acacia pulchella,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia pycnantha,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia ramulosa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia redolens,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia richii,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia salicina,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia saligna,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia shirleyi,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia simplex,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia sparsiflora,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia spirorbis,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia stenophylla,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia stipuligera,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia terminalis,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia tetragonophylla,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia tumida,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia verniciflua,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia verticillata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia victoriae,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acaciella angustissima,Fabaceae,Acaciella,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acaciella glauca,Fabaceae,Acaciella,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acaciella villosa,Fabaceae,Acaciella,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha caturus,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha chirindica,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha diversifolia,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha emirnensis,Euphorbiaceae,Acalypha,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha fasciculata,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha fruticosa,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha glabrata,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha grandis,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha hellwigii,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha longispica,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha macrostachya,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha neptunica,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha novoguineensis,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha ornata,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha platyphylla,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha portoricensis,Euphorbiaceae,Acalypha,,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha radula,Euphorbiaceae,Acalypha,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acalypha wilkesiana,Euphorbiaceae,Acalypha,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acanthocereus tetragonus,Cactaceae,Acanthocereus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acanthocladus pulcherrimus,Polygalaceae,Acanthocladus,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acanthophoenix rubra,Arecaceae,Acanthophoenix,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acanthosyris falcata,Santalaceae,Acanthosyris,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acanthosyris spinescens,Santalaceae,Acanthosyris,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acanthus ebracteatus,Acanthaceae,Acanthus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer argutum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer barbinerve,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer buergerianum formosanum,Sapindaceae,Acer,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer caesium,Sapindaceae,Acer,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer campbellii,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer campestre,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer capillipes,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer cappadocicum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer carpinifolium,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer caudatum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer circinatum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer cissifolium,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer cordatum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer crataegifolium,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer davidii,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer diabolicum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer distylum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer erianthum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer floridanum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer glabrum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer grandidentatum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer griseum,Sapindaceae,Acer,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer heldreichii,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer henryi,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer hyrcanum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer japonicum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer laevigatum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acer laurinum,Sapindaceae,Acer,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
