scientific_name,common_name,family,genus,usda_hardiness_zone,rhs_hardiness_rating,height_mature_ft,native_status,habitat,taxonomic_note,conservation_status,tso_url,catalog_source
Acer skutchii,Cloud Forest Sugar Maple,Sapindaceae,Acer,8-9,H5,98.4,"Guatemala, Mexico","On limestone and Leptosol soils, along ravines and streams in cloud forests, between 1750 and 2210 m asl. Associated species include Carpinus tropicalis , Liquidambar styraciflua , Pinus spp. and Quercus spp.",,Critically endangered (CR),https://www.treesandshrubsonline.org/articles/acer/acer-skutchii/,Trees and Shrubs Online (IDS)
Acer spicatum,Mountain Maple,Sapindaceae,Acer,3-6,H7,36.1,"Canada, United States","Along mountain streams, ravines or in woodlands on rich, moist soils in the understory in mixed forests, often at high elevations. Common associates include Acer saccharum , Betula alleghaniensis , Fagus grandifolia and Liriodendron tulipifera.",,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-spicatum/,Trees and Shrubs Online (IDS)
Acer stachyophyllum,,Sapindaceae,Acer,6-7,H5,49.2,"Bhutan, Myanmar, China, India, Nepal",Mixed and alpine forests between 1400 and 3500 m asl.,"The inclusion of lower taxa within Acer stachyophyllum has long been disputed (eg. Bean 1976 ). Subsp. betulifolium is recognised here, following van Gelderen, de Jong & Oterdoom (1994 ) and Xu et al. (2008 ), though further study is required to establish whether such a distinction is truly warranted. The identity of some early introductions is confused by use of the name A. tetramerum , which is ",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-stachyophyllum/,Trees and Shrubs Online (IDS)
Acer sterculiaceum,Pungent Maple,Sapindaceae,Acer,6,H6,65.6,"Bhutan, China, India, Nepal, Vietnam",Forests and valleys between 1800 and 3100 m asl.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-sterculiaceum/,Trees and Shrubs Online (IDS)
Acer sutchuenense,,Sapindaceae,Acer,5,H5,65.6,China,"Mixed forests between 1000 and 2500 m asl. Associates in Sichuan include Acer spp., Cercidiphyllum japonicum , Davidia involucrata , Magnolia sargentiana and Tetracentron sinense .",,Endangered (EN),https://www.treesandshrubsonline.org/articles/acer/acer-sutchuenense/,Trees and Shrubs Online (IDS)
Acer taronense,,Sapindaceae,Acer,,,,"Native of Upper Burma, Yunnan and Szechwan; described in 1924 by the Austrian botanist and plant explorer Handel-Mazzetti from specimens collected by him in the valley of the river Taron, a tributary of the Irrawaddy.",,,,https://www.treesandshrubsonline.org/articles/acer/acer-taronense/,Trees and Shrubs Online (IDS)
Acer tataricum,Tatarian Maple,Sapindaceae,Acer,3-8,H7,49.2,"Afghanistan, Albania, Austria, Bulgaria, China, Czechia, Greece, Hungary, Iran, Japan, Kazakhstan, Kyrgyzstan, Mongolia, Romania, Russia, Serbia, Tajikistan, Türkiye, Ukraine, Uzbekistan","Gullies, ravines, floodplains, riverbanks, riparian terraces, meadows and forest edges between 100 and 3000 m asl.","Acer tataricum as treated here includes five subspecies, all represented by plants in cultivation: subsp. aidzuense , subsp. ginnala , subsp semenovii , subsp. tataricum and subsp. theiferum . The latter was included within subsp. ginnala by van Gelderen, de Jong & Oterdoom (1994) , though described and treated as distinct by Yousheng Chen and Piet de Jong in the Acer account in the Flora of China",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-tataricum/,Trees and Shrubs Online (IDS)
Acer tegmentosum,Manchurian maple,Sapindaceae,Acer,,H5,,"China, North Korea, Russia",Mixed and coniferous forests.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-tegmentosum/,Trees and Shrubs Online (IDS)
Acer tenellum,,Sapindaceae,Acer,6-7,H5,26.2,China,Mixed forest between 1200 and 1800 m asl.,,Endangered (EN),https://www.treesandshrubsonline.org/articles/acer/acer-tenellum/,Trees and Shrubs Online (IDS)
Acer tetramerum,,Sapindaceae,Acer,,,30,"native of the E. Himalaya, Upper Burma, and parts of W. and S.W. China.",,,,https://www.treesandshrubsonline.org/articles/acer/acer-tetramerum/,Trees and Shrubs Online (IDS)
