scientific_name,common_name,growth_habit,leaf_retention,usda_hardiness_zone,catalog_source,catalog_source_url,mda_hardiness_zone,mda_categories,mda_cultivar_notes
Viburnum edule,Viburnum,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,Squashberry Viburnum
Viburnum lenatago,Nannyberry,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),"Nannyberry Viburnum, Homefree™"
Viburnum lentago,Viburnum,Shrub,,2-3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2-3,Shrubs,Homefree™; Nannyberry Viburnum
Viburnum nudum,Viburnum,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"'Earth Shade', 'Winterthur'"
Viburnum opulus,Viburnum,Shrub,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Shrubs,"Compactum' European Cranberrybush, 'Roseum' Common Snowball, 'Sterile',; Dwarf European aka 'Nanum' Cranberrybush"
Viburnum plicatum,Viburnum,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"Mariesii', Newport Dwarf, 'Pink Beauty', 'Shasta', 'Shoshoni', First Editions® Opening Day™ Doublefile Viburnum,"
Viburnum rhytidophylloides,Viburnum,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Emerald Triumph
Viburnum sargentii,Viburnum,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,Onondaga Viburnum
Viburnum trilobum,Cranberry Bush (treeform),Tree,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Deciduous (non-fruit); Shrubs,"American Cranberrybush Viburnum - 'Alfredo', 'Bailey Compact', Redwing® aka 'JN Select', 'Wentworth'; Redwing® aka 'J.N. Select'"
Viburnum × juddi,Viburnum,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,Judd Viburnum
Viburnum × rhytidophylloides,Viburnum,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,'Alleghany'
Vitex agnus-castus,,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"Pink Pinnacle 'Vo7-SC-OP-4' PP 27,374"
Vitis labrusca,Grape,Vine,,3-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-5,Fruit,"'Kay Gray'; Caco', 'California Concord', 'Campbell Early', 'Catawba', 'Champanel', 'Delaware', 'Eastern Concord', 'Einset', 'Fresno Seedless', 'Glenora', 'Inkameep Riesling', 'Lakemont', 'Mars', 'Moored', 'Niagara', 'Okanagan Riesling', 'Reliance Seedless', 'Romulus', 'Van Buren', 'Concrod', 'Fredonia', 'LaCrose', 'Vanessa Seedless',"
Weigela florida,Weigela or Cardinal Flower,Shrub,,4-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-5,Shrubs,"Carnaval', 'Evita', 'French Lace' (Brigela), 'Gold Rush', 'Midnight Wine' (Elvera), 'Rubidor', 'Variegata', 'Wine and Roses' (Alexandra); Dark Horse' , 'Java Red', Ghost™ aka 'Carlton' , 'Minuet' , My Monet Purple Effect® aka 'Verweig8', My Monet® aka 'Verweig', 'Polka' Weigela, Rainbow Sensation™ aka 'Kiomagira', 'Red Prince' Weigela, 'Rumba' Weigela, Shining Sensation™ aka 'Bokrashine' Weigela, Sonic Bloom® - Pearl aka 'Bokrasopea' , Sonic Bloom® - Red aka 'Verweig', Sonic Bloom® Pink aka 'Bokrasopin', Sonic BloomTM, 'Spilled Wine' aka 'Bokraspiwi', 'Tango' Weigela"
Weigela praecox,Weigela or Cardinal Flower,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,April Snow Weigela
Wisteria macrostachya,Wisteria,Vine,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Vines,"Aunt Dee', 'Betty Mathews' First Editions® Summer Cascade™, 'Blue Moon'"
Xanthoceras sorbifolium,Yellowhorn,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Yellowhorn
Zelkova serrata,Zelkova,Tree,,6,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,6,Deciduous (non-fruit),Zelkova - 'Green Vase'
