scientific_name,family,genus,growth_habit,notes,catalog_source
Archirhodomyrtus beckleri,Myrtaceae,Archirhodomyrtus,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Archontophoenix alexandrae,Arecaceae,Archontophoenix,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Archontophoenix cunninghamiana,Arecaceae,Archontophoenix,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Arctostaphylos andersonii,Ericaceae,Arctostaphylos,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Arctostaphylos columbiana,Ericaceae,Arctostaphylos,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Arctostaphylos glauca,Ericaceae,Arctostaphylos,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Arctostaphylos pungens,Ericaceae,Arctostaphylos,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Arctostaphylos viscida,Ericaceae,Arctostaphylos,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia crassa,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia elliptica,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia escallonioides,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia forbesii,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia guianensis,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia staudtii,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia purpurea,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Tapeinosperma lanceifolium,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia lurida,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia macrocalyx,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia macrophylla,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia japonica,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia oxyphylla,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
Ardisia polycephala,Primulaceae,Ardisia,Tree,Useful native tree listed in GlobalUsefulNativeTrees (GlobUNT).,GlobUNT / Kindt et al. 2023 (CC BY)
